timestamp,cpu_user,cpu_system,rss,heapTotal,heapUsed,external
1726750456366, 2205276, 102686, 254091264, 171814912, 146279640, 5551125
1726750457371, 2209730, 102693, 254222336, 171814912, 146291072, 5551183
1726750458376, 2211060, 102693, 254222336, 171814912, 146297520, 5551194
1726750459381, 2212238, 102732, 254222336, 171814912, 146303984, 5551205
1726750460386, 2213256, 102779, 254222336, 171814912, 146310536, 5551216
1726750461388, 2214814, 102783, 254222336, 171814912, 146317864, 5551227
1726750462393, 2216285, 102783, 254222336, 171814912, 146324672, 5551238
1726750463399, 2217407, 102833, 254222336, 171814912, 146331392, 5551249
1726750464402, 2218001, 103812, 254222336, 171814912, 146338264, 5551260
1726750465408, 2219538, 103817, 254222336, 171814912, 146345056, 5551271
1726750466413, 2220864, 103853, 254222336, 171814912, 146352200, 5551282
1726750467418, 2221058, 104813, 254222336, 171814912, 146359040, 5551293
1726750468424, 2221803, 104849, 254222336, 171814912, 146365656, 5551304
1726750469429, 2222871, 104853, 254222336, 171814912, 146372272, 5551315
1726750470434, 2223759, 104894, 254222336, 171814912, 146378888, 5551326
1726750471439, 2225191, 104914, 254222336, 171814912, 146385584, 5551337
1726750472439, 2774627, 128167, 207351808, 125530112, 121689736, 5532919
1726750473444, 2776282, 128173, 207482880, 125530112, 121832856, 5532930
1726750474448, 2777727, 128173, 207482880, 125530112, 121839584, 5532941
1726750475454, 2778261, 128196, 207482880, 125530112, 121846256, 5532952
1726750476459, 2779596, 128202, 207482880, 125530112, 121852968, 5532963
1726750477464, 2780541, 128202, 207482880, 125530112, 121859808, 5532974
1726750478469, 2781414, 128202, 207482880, 125530112, 121866496, 5532985
1726750479474, 2782046, 128202, 207482880, 125530112, 121873184, 5532996
1726750480481, 2782926, 128202, 207482880, 125530112, 121879880, 5533007
1726750481486, 2783712, 128217, 207482880, 125530112, 121886568, 5533018
1726750482492, 2784559, 128256, 207482880, 125530112, 121893280, 5533029
1726750483497, 2785050, 128278, 207482880, 125530112, 121899992, 5533040
1726750484502, 2785756, 128311, 207482880, 125530112, 121906704, 5533051
1726750485506, 2786693, 128354, 207482880, 125530112, 121913448, 5533062
1726750486512, 2787130, 128374, 207482880, 125530112, 121920160, 5533073
1726750487517, 2787874, 128408, 207482880, 125530112, 121926872, 5533084
1726750488521, 2788753, 128449, 207482880, 125530112, 121933584, 5533095
1726750489527, 2789202, 128469, 207482880, 125530112, 121940296, 5533106
1726750490532, 2790430, 128526, 207613952, 125530112, 121947008, 5533117
1726750491537, 2791370, 128530, 207613952, 125530112, 121953688, 5533128
1726750492542, 2792716, 128539, 207613952, 125530112, 121960448, 5533139
1726750493547, 2793920, 128594, 207613952, 125530112, 121967176, 5533150
1726750494552, 2795119, 128603, 207613952, 125530112, 121973904, 5533161
1726750495557, 2795582, 128624, 207613952, 125530112, 121980632, 5533172
1726750496561, 2796077, 128647, 207613952, 125530112, 121987360, 5533183
1726750497567, 2796620, 128672, 207613952, 125530112, 121994088, 5533194
1726750498572, 2797625, 128675, 207613952, 125530112, 122000816, 5533205
1726750499577, 2798983, 128681, 207613952, 125530112, 122007544, 5533216
1726750500582, 2800118, 128681, 207613952, 125530112, 122014272, 5533227
1726750501587, 2801044, 128681, 207613952, 125530112, 122020976, 5533238
1726750502592, 2801906, 128681, 207613952, 125530112, 122027680, 5533249
1726750503597, 2802684, 128681, 207613952, 125530112, 122034384, 5533260
1726750504602, 2803931, 128685, 207613952, 125530112, 122041088, 5533271
1726750505607, 2804890, 128687, 207613952, 125530112, 122047816, 5533282
1726750506612, 2805935, 128687, 207613952, 125530112, 122054544, 5533293
1726750507617, 2807278, 128694, 207613952, 125530112, 122061248, 5533304
1726750508622, 2808140, 128694, 207613952, 125530112, 122067976, 5533315
1726750509627, 2808884, 128694, 207613952, 125530112, 122074680, 5533326
1726750510632, 2809862, 128694, 207613952, 125530112, 122081384, 5533337
1726750511637, 2810671, 128694, 207613952, 125530112, 122088088, 5533348
1726750512642, 2811157, 128694, 207613952, 125530112, 122094792, 5533359
1726750513647, 2811157, 129592, 207613952, 125530112, 122101496, 5533370
1726750514652, 2811808, 129652, 207613952, 125530112, 122108200, 5533381
1726750515656, 2812613, 129673, 207613952, 125530112, 122114928, 5533392
1726750516661, 2813444, 129676, 207613952, 125530112, 122121656, 5533403
1726750517666, 2814306, 129676, 207613952, 125530112, 122128384, 5533414
1726750518671, 2815152, 129698, 207613952, 125530112, 122135088, 5533425
1726750519676, 2816004, 129737, 207613952, 125530112, 122141840, 5533436
1726750520677, 2816828, 129740, 207613952, 125530112, 122148568, 5533447
1726750521682, 2817748, 129740, 207613952, 125530112, 122155296, 5533458
1726750522687, 2818632, 129765, 207613952, 125530112, 122162000, 5533469
1726750523692, 2819415, 129801, 207613952, 125530112, 122168728, 5533480
1726750524696, 2820634, 129811, 207745024, 125530112, 122175456, 5533491
1726750525702, 2821082, 129832, 207745024, 125530112, 122182184, 5533502
1726750526707, 2821942, 129835, 207745024, 125530112, 122188912, 5533513
1726750527712, 2822700, 129860, 207745024, 125530112, 122195640, 5533524
1726750528716, 2823362, 129890, 207745024, 125530112, 122202368, 5533535
1726750529722, 2824879, 129914, 207745024, 126578688, 121374552, 5532930
1726750530727, 2824973, 130827, 207745024, 126578688, 121381256, 5532941
1726750531732, 2825746, 130914, 207745024, 126578688, 121387960, 5532952
1726750532737, 2826600, 130954, 207745024, 126578688, 121394664, 5532963
1726750533741, 2827287, 130986, 207745024, 126578688, 121401368, 5532974
1726750534747, 2827813, 131010, 207745024, 126578688, 121408072, 5532985
1726750535752, 2828585, 131013, 207745024, 126578688, 121414776, 5532996
1726750536757, 2829532, 131013, 207745024, 126578688, 121421480, 5533007
1726750537762, 2830404, 131013, 207745024, 126578688, 121428160, 5533018
1726750538766, 2831371, 131035, 207745024, 126578688, 121434840, 5533029
1726750539772, 2831897, 131059, 207745024, 126578688, 121441544, 5533040
1726750540777, 2833354, 131080, 207745024, 126578688, 121448248, 5533051
1726750541782, 2834229, 131120, 207745024, 126578688, 121454952, 5533062
1726750542786, 2835117, 131123, 207745024, 126578688, 121461656, 5533073
1726750543792, 2835662, 131140, 207745024, 126578688, 121468360, 5533084
1726750544798, 2835662, 131946, 207745024, 126578688, 121475064, 5533095
1726750545803, 2835662, 132995, 207745024, 126578688, 121481744, 5533106
1726750546807, 2837234, 133160, 207745024, 126578688, 121488424, 5533117
1726750547811, 2838333, 133160, 207876096, 126578688, 121495128, 5533128
1726750548817, 2838897, 133167, 207876096, 126578688, 121501808, 5533139
1726750549822, 2839807, 133210, 207876096, 126578688, 121508512, 5533150
1726750550826, 2840844, 133213, 207876096, 126578688, 121515216, 5533161
1726750551832, 2841300, 133233, 207876096, 126578688, 121521920, 5533172
1726750552837, 2841350, 133993, 207876096, 126578688, 121528624, 5533183
1726750553841, 2841939, 134363, 207876096, 126578688, 121535328, 5533194
1726750554847, 2841948, 135186, 207876096, 126578688, 121542032, 5533205
1726750555852, 2842890, 135188, 207876096, 126578688, 121548736, 5533216
1726750556857, 2843846, 135229, 207876096, 126578688, 121555440, 5533227
1726750557863, 2844578, 135263, 207876096, 126578688, 121562144, 5533238
1726750558868, 2845440, 135266, 207876096, 126578688, 121568848, 5533249
1726750559873, 2846100, 135288, 207876096, 126578688, 121575552, 5533260
1726750560878, 2846983, 135291, 207876096, 126578688, 121582256, 5533271
1726750561883, 2847808, 135321, 207876096, 126578688, 121588960, 5533282
1726750562888, 2848629, 135323, 207876096, 126578688, 121595664, 5533293
1726750563893, 2849732, 135323, 207876096, 126578688, 121602368, 5533304
1726750564898, 2851203, 135326, 207876096, 126578688, 121609048, 5533315
1726750565898, 2852110, 135326, 207876096, 126578688, 121615752, 5533326
1726750566904, 2852968, 135326, 207876096, 126578688, 121622520, 5533337
1726750567908, 2853863, 135326, 207876096, 126578688, 121629200, 5533348
1726750568913, 2854409, 135347, 207876096, 126578688, 121635880, 5533359
1726750569915, 2854805, 135365, 207876096, 126578688, 121642584, 5533370
1726750570919, 2854879, 136291, 207876096, 126578688, 121649288, 5533381
1726750571924, 2855718, 136419, 207876096, 126578688, 121655992, 5533392
1726750572929, 2856167, 136441, 207876096, 126578688, 121662696, 5533403
1726750573935, 2857086, 136443, 207876096, 126578688, 121669400, 5533414
1726750574940, 2857882, 136443, 207876096, 126578688, 121676104, 5533425
1726750575945, 2858705, 136465, 207876096, 126578688, 121682784, 5533436
1726750576950, 2860187, 136488, 207876096, 126578688, 121689488, 5533447
1726750577954, 2860306, 137026, 207876096, 126578688, 121696192, 5533458
1726750578959, 2860306, 137432, 207876096, 126578688, 121702896, 5533469
1726750579964, 2860766, 137527, 207876096, 126578688, 121709576, 5533480
1726750580969, 2861325, 137554, 207876096, 126578688, 121716280, 5533491
1726750581975, 2861879, 137580, 207876096, 126578688, 121722984, 5533502
1726750582979, 2862094, 138433, 207876096, 126578688, 121729688, 5533513
1726750583984, 2862416, 138618, 207876096, 126578688, 121736392, 5533524
1726750584990, 2862952, 138644, 207876096, 126578688, 121743096, 5533535
1726750585994, 2863502, 138670, 207876096, 126578688, 121749800, 5533546
1726750587000, 2863861, 138688, 207876096, 126578688, 121756528, 5533557
1726750588005, 2864443, 138716, 207876096, 126578688, 121763256, 5533568
1726750589009, 2865385, 138762, 207876096, 126578688, 121769984, 5533579
1726750590015, 2865825, 138783, 208007168, 126578688, 121776712, 5533590
1726750591020, 2866919, 138836, 208007168, 126578688, 121783440, 5533601
1726750592024, 2869099, 138843, 208007168, 126578688, 121790168, 5533612
1726750593029, 2869488, 138862, 208007168, 126578688, 121796896, 5533623
1726750594034, 2870713, 138921, 208007168, 126578688, 121803624, 5533634
1726750595040, 2871213, 138946, 208007168, 126578688, 121810352, 5533645
1726750596045, 2872481, 138958, 208007168, 126578688, 121817080, 5533656
1726750597049, 2874724, 138970, 208007168, 126578688, 121823808, 5533667
1726750598054, 2875181, 138970, 208007168, 126578688, 121830536, 5533678
1726750599060, 2875830, 138973, 208007168, 126578688, 121837240, 5533689
1726750600064, 2876825, 139021, 208007168, 126578688, 121843968, 5533700
1726750601069, 2877295, 139043, 208007168, 126578688, 121850696, 5533711
1726750602075, 2877821, 139069, 208007168, 126578688, 121857424, 5533722
