180,3.187,0.346
180,3.261,0.364
120,3.573,0.327
120,3.398,0.332
120,3.221,0.33
300,3.273,0.427
1,3.552,0.283
1,3.408,0.258
30,3.335,0.274
60,3.191,0.283
60,3.282,0.304
60,3.226,0.288
60,3.32,0.291
300,3.52,0.389
300,3.385,0.382
30,3.331,0.272
30,3.205,0.271
1,3.295,0.276
1,3.133,0.305
1,3.188,0.27
1800,3.46,1.221
1800,3.684,1.233
