Clients,Iteration,Add_Event_Mean,Add_Event_SD,Fetch_Event_Mean,Fetch_Event_SD,Fetch_Event_Sum,Preprocess_Mean,Preprocess_SD,Preprocess_Sum,First_Event_Latency_ms
10,9,3.06,2.22,119.45,275.02,229706.00,0.32,0.54,619.00,686147.00
10,10,3.05,1.89,139.62,348.77,266680.00,0.35,0.51,662.00,701076.00
10,11,5.66,7.33,16.85,32.43,36386.00,0.30,0.51,655.00,151730.00
10,12,3.05,1.82,112.06,233.64,214039.00,0.34,0.53,647.00,0.00
10,13,2.95,1.67,118.42,292.98,238500.00,0.33,0.51,674.00,0.00
10,14,3.21,2.66,121.71,269.90,232590.00,0.32,0.52,621.00,650463.00
10,15,2.83,1.70,129.06,317.31,248317.00,0.33,0.54,640.00,0.00
10,16,2.99,1.72,129.96,292.12,250036.00,0.34,0.55,654.00,0.00
10,17,2.97,1.75,120.68,304.51,231221.00,0.34,0.52,644.00,0.00
10,18,9.81,10.11,18.25,28.69,39244.00,0.26,0.48,549.00,91814.00
10,19,3.03,1.83,136.22,376.20,260581.00,0.33,0.53,628.00,0.00
10,20,3.04,1.79,119.65,284.28,228166.00,0.33,0.53,636.00,0.00
10,21,3.09,1.89,125.64,324.23,239596.00,0.34,0.53,640.00,0.00
10,22,3.07,2.29,136.52,383.03,260744.00,0.32,0.52,605.00,686204.00
10,23,4.33,2.87,357.67,250.14,1073.00,0.00,0.00,0.00,0.00
10,24,3.07,1.88,123.05,280.19,235390.00,0.34,0.52,657.00,0.00
10,25,3.17,2.13,110.84,278.59,211263.00,0.36,0.55,681.00,678307.00
10,26,3.03,1.93,129.68,314.48,249889.00,0.34,0.53,656.00,0.00
10,27,3.09,1.78,114.10,259.79,221248.00,0.34,0.54,665.00,0.00
10,28,3.03,1.85,133.62,366.75,255217.00,0.33,0.53,625.00,0.00
10,29,3.00,1.75,128.18,303.22,245330.00,0.32,0.51,606.00,0.00
10,30,3.17,1.81,114.26,303.30,218810.00,0.36,0.55,697.00,0.00
10,31,3.00,1.94,46.88,88.98,375.00,0.63,0.48,5.00,0.00
10,32,3.02,1.83,125.45,298.84,239113.00,0.31,0.54,586.00,0.00
10,33,4.33,0.47,190.00,127.20,570.00,0.33,0.47,1.00,0.00
10,34,3.10,1.84,116.89,313.60,222316.00,0.32,0.52,610.00,0.00
10,35,3.60,3.78,121.39,263.87,233436.00,0.34,0.53,654.00,630600.00
