Clients,Iteration,Add_Event_Mean,Add_Event_SD,Fetch_Event_Mean,Fetch_Event_SD,Fetch_Event_Sum,Preprocess_Mean,Preprocess_SD,Preprocess_Sum,First_Event_Latency_ms
3,4,3.27,3.43,57.75,126.92,123229.00,0.29,0.48,613.00,196150.00
3,5,11.58,12.58,62.21,133.02,132811.00,0.25,0.44,537.00,67225.00
3,6,3.19,3.70,58.74,130.70,125299.00,0.29,0.50,612.00,223379.00
3,7,8.38,10.83,63.49,135.83,135541.00,0.27,0.46,581.00,75081.00
3,8,13.72,13.98,63.07,142.11,134650.00,0.23,0.43,489.00,63165.00
3,9,2.77,2.26,63.34,147.39,135166.00,0.29,0.50,625.00,273791.00
3,10,7.68,12.10,69.61,152.11,148547.00,0.27,0.46,579.00,71880.00
3,11,2.60,1.88,57.77,127.04,123273.00,0.31,0.49,651.00,283765.00
3,12,5.12,7.16,63.27,134.73,135080.00,0.25,0.45,536.00,82857.00
3,13,13.08,13.85,61.94,162.48,132185.00,0.28,0.46,594.00,68390.00
3,14,5.52,8.33,67.41,149.99,143852.00,0.29,0.51,617.00,91713.00
3,15,3.26,3.51,59.09,121.49,126035.00,0.29,0.47,627.00,226023.00
3,16,3.09,2.27,58.74,135.05,125342.00,0.30,0.49,647.00,271896.00
3,17,10.82,10.82,64.80,149.55,138223.00,0.26,0.49,560.00,63118.00
3,18,5.65,8.17,62.19,128.12,132710.00,0.30,0.49,648.00,88899.00
3,19,2.88,2.50,57.17,123.38,121995.00,0.31,0.48,665.00,267308.00
3,20,10.44,13.64,69.67,160.97,148684.00,0.28,0.46,599.00,68403.00
3,21,3.19,3.71,60.36,135.00,128809.00,0.30,0.49,639.00,221978.00
3,22,6.45,9.84,56.34,119.06,120233.00,0.28,0.47,593.00,83988.00
3,23,3.05,2.01,61.25,128.06,130718.00,0.31,0.49,656.00,256790.00
3,24,10.64,10.77,61.97,137.13,132253.00,0.26,0.47,557.00,65616.00
3,25,5.17,7.49,64.73,137.86,138068.00,0.28,0.47,590.00,95236.00
3,26,6.85,10.40,60.02,132.03,128015.00,0.29,0.52,612.00,80948.00
3,27,10.83,11.27,60.56,124.80,129241.00,0.28,0.47,597.00,71300.00
3,28,3.11,2.66,58.61,127.09,125007.00,0.29,0.48,629.00,255138.00
3,29,3.19,3.32,54.16,120.13,115622.00,0.31,0.52,667.00,240645.00
3,30,8.13,10.32,59.58,120.43,127086.00,0.29,0.50,625.00,76563.00
3,31,12.35,12.98,66.66,135.84,142249.00,0.27,0.47,584.00,68000.00
3,32,2.88,1.94,58.05,122.38,123871.00,0.30,0.48,644.00,266654.00
3,33,6.84,10.60,64.32,144.51,137132.00,0.28,0.46,597.00,84241.00
3,34,7.47,11.49,59.10,127.24,126128.00,0.29,0.48,626.00,73480.00
3,35,4.96,6.77,59.65,128.89,127172.00,0.31,0.53,667.00,108358.00
