Clients,Iteration,Success,Duration_s,Avg_CPU_Total_%,Max_CPU_Total_%,StdDev_CPU_%,Avg_RSS_MB,Max_RSS_MB,Avg_Heap_Used_MB,Max_Heap_Used_MB,Heap_Utilization_%
3,12,TRUE,717,4247.5,29027.8,6193.4,229,303,150,207,95.1
3,13,TRUE,717,4289.4,30925.9,6394.4,229,420,150,322,95.1
3,14,TRUE,716,4445.1,28527.2,6568.8,228,289,150,197,95.3
3,15,TRUE,717,4623.3,31408.0,6765.2,228,314,150,218,95.3
3,16,TRUE,716,4705.9,32160.7,7006.0,228,280,150,197,95.2
3,17,TRUE,716,4826.4,29118.2,7051.5,228,369,150,277,95.2
3,18,TRUE,716,4953.5,29340.8,7167.4,228,314,150,217,95.1
3,19,TRUE,717,4705.6,32778.7,6812.1,228,299,150,203,95.0
3,20,TRUE,716,4853.9,30307.4,7128.8,229,416,150,317,95.0
3,21,TRUE,716,4778.4,32910.2,7196.6,229,298,150,205,95.0
3,22,TRUE,717,4814.0,29729.7,7217.1,228,298,150,206,95.1
3,23,TRUE,717,4995.1,32605.4,7424.4,228,298,150,207,95.2
3,24,TRUE,716,5045.8,33821.3,7529.2,228,339,150,242,95.1
3,25,TRUE,716,5155.3,33087.3,7523.0,228,298,150,198,94.9
3,26,TRUE,717,5266.2,33036.1,7606.1,228,386,150,285,94.9
3,27,TRUE,717,5273.4,33842.9,7794.2,228,374,150,278,94.8
3,28,TRUE,716,5193.9,34695.6,7731.1,228,280,149,199,94.7
3,29,TRUE,716,5265.3,33501.0,7739.4,228,305,149,200,94.6
3,30,TRUE,717,5560.4,33197.2,7906.4,229,378,150,271,94.6
3,31,TRUE,717,5533.9,36242.0,7848.8,228,332,149,237,94.5
3,32,TRUE,717,5647.9,35917.0,8053.3,228,295,149,200,94.7
3,33,TRUE,716,5819.9,33854.7,8282.4,228,344,149,243,94.6
3,34,TRUE,716,5898.7,34430.1,8126.8,228,327,149,228,94.6
3,35,TRUE,717,5467.9,34546.3,7812.6,228,284,149,199,94.6
4,1,TRUE,716,5629.0,42895.7,8112.3,229,298,151,204,95.3
4,2,TRUE,716,5734.4,44008.5,8538.6,229,281,151,204,95.3
4,3,TRUE,717,5725.8,43925.2,8479.8,229,304,151,204,95.2
4,4,TRUE,717,5586.3,41307.2,8402.4,229,297,151,204,95.2
4,5,TRUE,716,6038.2,45050.6,8930.9,229,294,151,204,95.1
4,6,TRUE,716,6312.2,44728.0,9212.6,229,287,151,204,95.0
4,7,TRUE,716,6443.4,44068.4,9480.5,229,281,151,204,95.0
4,8,TRUE,717,6683.4,45078.5,9684.1,229,301,151,209,95.0
4,9,TRUE,716,6799.6,46455.0,9840.3,229,317,150,221,95.0
4,10,TRUE,716,6799.2,41763.2,10086.5,229,290,150,205,94.8
4,11,TRUE,716,7218.5,45950.3,10345.6,229,285,150,205,94.7
4,12,TRUE,716,7012.8,45975.6,10368.1,229,282,150,205,94.6
4,13,TRUE,716,7128.8,44215.8,10319.3,229,298,150,205,94.7
4,14,TRUE,716,7150.2,46567.6,10567.4,229,293,150,205,94.8
4,15,TRUE,716,7130.2,44231.3,10349.4,229,282,150,205,94.8
4,16,TRUE,716,7308.7,47230.0,10390.4,229,317,150,222,94.7
4,17,TRUE,717,7122.2,44818.0,10302.0,229,303,150,206,94.6
4,18,TRUE,716,7280.2,48504.3,10324.7,229,282,149,206,94.5
4,19,TRUE,716,6723.6,43530.5,9772.2,229,344,149,246,94.4
4,20,TRUE,716,6900.4,45278.3,10448.6,229,298,149,206,94.4
4,21,TRUE,717,7523.5,49059.9,10927.3,228,291,149,206,94.4
4,22,TRUE,717,7740.2,45945.4,11204.8,228,283,149,206,94.3
4,23,TRUE,717,7840.9,47937.9,11446.7,229,321,149,222,94.3
4,24,TRUE,716,7491.2,47380.8,10841.0,228,290,149,206,94.3
4,25,TRUE,717,7743.1,48326.5,11219.3,229,283,149,206,94.2
4,26,TRUE,716,8141.3,44467.6,11510.4,229,309,149,207,94.2
4,27,TRUE,717,7819.3,50249.6,11279.3,229,316,149,218,94.2
4,28,TRUE,717,8152.5,49945.8,11639.4,228,283,149,207,94.2
4,29,TRUE,716,8114.8,49987.8,11556.8,228,296,149,205,94.3
4,30,TRUE,717,7971.5,47884.9,11629.6,229,293,149,205,94.3
4,31,TRUE,717,8006.0,47658.3,11726.7,229,286,149,205,94.2
4,32,TRUE,717,8199.4,48032.7,11570.5,229,302,149,205,94.3
4,33,TRUE,716,7784.8,50109.1,11389.1,229,280,149,205,94.4
4,34,TRUE,717,8200.4,46951.9,11717.6,228,305,149,211,94.5
4,35,TRUE,716,8867.8,48954.5,12379.8,228,308,149,213,94.5
5,1,TRUE,716,8535.8,51429.7,12205.4,228,288,150,185,95.1
5,2,TRUE,716,8627.3,53052.0,12458.0,228,287,150,191,95.1
5,3,TRUE,716,8825.0,53676.7,12845.8,228,289,150,185,95.2
5,4,TRUE,716,8879.9,53209.2,12606.6,228,319,150,222,95.2
5,5,TRUE,717,8799.3,55087.6,12441.3,228,292,150,211,95.3
5,6,TRUE,716,9145.6,54398.2,13006.3,228,278,150,185,95.3
5,7,TRUE,716,8686.3,52209.2,12500.2,228,282,150,188,95.4
5,8,TRUE,716,8988.3,55485.5,12774.6,228,323,150,228,95.4
5,9,TRUE,716,9050.1,54111.9,12650.3,228,296,150,203,95.5
5,10,TRUE,717,9093.0,54546.7,13074.7,228,306,150,217,95.5
5,11,TRUE,716,9552.2,53848.8,13634.8,228,293,150,196,95.5
5,12,TRUE,717,9406.1,53658.9,13247.5,228,291,150,191,95.4
5,13,TRUE,716,9247.6,55428.6,13100.8,228,281,151,187,95.4
5,14,TRUE,717,9029.9,53098.0,13050.8,229,288,151,191,95.4
5,15,TRUE,716,9486.2,55755.6,13610.5,229,284,151,184,95.3
5,16,TRUE,716,9379.7,54807.2,13537.8,229,300,151,204,95.3
5,17,TRUE,717,9490.9,55405.6,13632.9,229,284,151,189,95.2
5,18,TRUE,716,9335.6,56295.5,13525.1,229,290,151,194,95.0
5,19,TRUE,717,9285.0,55880.8,13594.4,229,297,151,201,94.9
5,20,TRUE,717,9623.6,56472.7,13684.5,229,301,150,205,94.8
5,21,TRUE,717,9473.5,55716.2,13499.8,230,290,150,193,94.8
5,22,TRUE,716,9849.2,56237.3,13971.7,229,296,150,201,94.9
5,23,TRUE,717,10069.7,56477.3,14276.1,229,283,150,185,94.8
5,24,TRUE,716,10276.1,57282.6,14369.0,229,294,150,200,94.8
5,25,TRUE,717,9844.4,57316.3,14232.9,229,294,150,192,94.7
5,26,TRUE,717,10069.7,54739.6,14331.3,229,313,150,217,94.6
5,27,TRUE,717,10212.8,57607.6,14412.7,229,274,150,185,94.6
5,28,TRUE,716,10454.0,55775.4,14770.9,229,299,150,207,94.5
5,29,TRUE,716,10364.2,58607.4,14660.6,229,285,150,189,94.4
5,30,TRUE,716,9682.7,57872.8,14130.0,229,304,150,207,94.6
5,31,TRUE,717,9812.7,58598.4,14309.1,229,279,150,186,94.5
5,32,TRUE,716,9732.1,58937.0,14214.9,229,280,150,186,94.6
5,33,TRUE,716,9925.7,60627.7,14510.4,229,291,150,191,94.5
5,34,TRUE,716,10172.7,57358.0,14688.9,229,292,149,198,94.3
5,35,TRUE,717,10124.1,59474.7,14647.6,229,293,149,189,94.2
6,1,TRUE,717,10487.8,59387.1,15026.1,229,277,149,187,94.1
6,2,TRUE,717,10692.0,59445.4,14956.3,229,280,149,187,94.1
6,3,TRUE,717,10391.3,57505.7,15003.0,229,287,149,188,94.2
6,4,TRUE,716,10978.5,57893.5,15522.3,229,277,149,187,94.2
6,5,TRUE,717,10771.2,61643.3,15212.7,229,299,149,204,94.2
6,6,TRUE,716,10588.1,61826.4,15235.1,229,288,149,189,94.2
6,7,TRUE,716,10434.7,58624.2,15008.4,229,279,149,187,94.2
6,8,TRUE,717,10200.5,59526.4,15012.5,229,295,149,202,94.3
6,9,TRUE,716,10563.5,60924.2,15348.9,229,288,149,195,94.3
6,10,TRUE,716,10541.3,62730.8,15227.4,229,285,149,188,94.2
6,11,TRUE,716,10771.5,61895.0,15629.0,229,290,149,188,94.2
6,12,TRUE,716,10847.4,62061.2,15599.2,229,277,149,187,94.2
6,13,TRUE,717,11271.7,62174.9,15688.2,229,278,149,182,94.2
6,14,TRUE,716,11121.0,64896.3,15839.5,229,297,149,204,94.2
6,15,TRUE,717,11171.1,64516.6,15982.8,229,284,149,191,94.2
6,16,TRUE,717,11068.6,64275.3,15746.5,228,285,149,191,94.3
6,17,TRUE,717,10944.2,62603.1,15721.3,228,293,149,190,94.3
6,18,TRUE,716,11116.8,63942.6,15739.4,228,307,149,210,94.5
6,19,TRUE,716,10883.1,63813.9,15526.0,228,305,149,205,94.5
6,20,TRUE,717,10718.0,63037.7,15385.4,228,296,149,201,94.5
6,21,TRUE,716,11019.3,64795.0,15581.0,228,303,149,209,94.6
6,22,TRUE,716,10993.0,63347.9,15782.2,228,308,149,212,94.6
6,23,TRUE,717,11198.7,64373.4,15932.3,228,285,149,187,94.7
6,24,TRUE,716,10953.1,65774.8,15667.5,228,284,149,186,94.7
6,25,TRUE,717,10975.2,66010.0,15892.6,228,276,149,183,94.8
6,26,TRUE,717,11215.7,66699.5,15932.5,228,300,150,206,94.8
6,27,TRUE,717,11284.0,66686.9,16091.8,228,304,150,207,94.9
6,28,TRUE,716,11809.5,65110.2,16560.6,228,286,150,187,95.0
6,29,TRUE,716,11412.2,66249.1,16297.2,228,296,150,200,95.0
6,30,TRUE,717,11323.1,66234.0,16140.0,228,284,150,189,95.1
6,31,TRUE,716,11249.5,65213.3,16168.8,228,281,150,189,95.1
6,32,TRUE,717,11314.1,67892.2,16214.2,228,295,150,190,95.1
6,33,TRUE,717,11768.6,66802.3,16680.0,228,286,150,188,95.1
6,34,TRUE,716,11660.2,67177.0,16627.1,229,297,150,202,95.1
6,35,TRUE,716,12077.8,66477.4,16898.4,229,278,150,188,95.1
7,1,TRUE,716,13543.0,85035.5,19501.5,224,296,149,207,94.7
7,2,TRUE,716,13500.0,82853.2,19501.5,224,290,149,207,94.7
7,3,TRUE,716,13899.3,81965.8,19795.1,223,286,149,207,94.6
7,4,TRUE,717,13799.2,84892.5,19675.1,223,304,149,211,94.6
7,5,TRUE,716,13874.8,82924.0,19960.1,222,299,149,207,94.6
7,6,TRUE,717,13861.9,83815.4,19966.3,221,284,149,207,94.6
7,7,TRUE,716,13860.5,82807.6,19982.5,221,284,149,208,94.5
7,8,TRUE,716,14100.4,85896.3,20127.9,221,294,149,208,94.5
7,9,TRUE,716,13746.0,82125.0,19936.6,220,312,149,208,94.5
7,10,TRUE,716,14168.4,83006.8,20194.0,220,308,149,211,94.4
7,11,TRUE,716,13790.7,85806.9,19980.6,219,281,149,208,94.4
7,12,TRUE,717,14285.5,85713.2,20508.4,219,292,149,208,94.4
7,13,TRUE,716,14464.1,85414.6,20476.4,218,295,149,208,94.4
7,14,TRUE,717,14393.0,85168.6,20334.4,217,280,149,208,94.4
7,15,TRUE,717,13998.7,85270.1,20074.3,217,279,149,208,94.4
7,16,TRUE,716,14491.8,84277.5,20547.8,217,279,149,209,94.4
7,17,TRUE,716,14590.1,86453.4,20695.5,216,279,149,209,94.3
7,18,TRUE,717,14127.5,86635.0,20453.6,216,277,149,209,94.4
7,19,TRUE,716,14086.5,87076.1,20339.7,215,297,149,209,94.4
7,20,TRUE,716,14286.0,87415.6,20398.4,215,280,149,209,94.4
7,21,TRUE,716,14243.0,86657.3,20539.8,214,298,149,209,94.4
7,22,TRUE,716,14182.9,86020.7,20489.2,214,298,149,209,94.4
7,23,TRUE,716,14083.1,88161.5,20456.0,213,298,149,209,94.4
7,24,TRUE,717,14054.0,88681.3,20605.8,213,299,149,209,94.4
7,25,TRUE,716,14218.0,87442.3,20463.0,213,298,149,210,94.5
7,26,TRUE,717,14191.7,88174.9,20510.1,212,302,149,210,94.5
7,27,TRUE,716,14325.2,87489.2,20619.1,212,290,149,210,94.6
7,28,TRUE,716,14337.1,87484.1,20699.8,212,293,149,210,94.6
7,29,TRUE,717,14363.1,89439.3,20776.4,211,284,149,210,94.7
7,30,TRUE,716,14681.3,86917.6,21102.9,211,285,149,210,94.7
7,31,TRUE,716,14335.3,90753.3,20697.8,210,278,150,210,94.8
7,32,TRUE,716,14835.6,91089.4,21221.2,210,290,150,210,94.8
7,33,TRUE,716,14517.5,88960.1,20911.0,185,267,150,211,94.8
7,34,TRUE,704,14845.9,90469.0,21228.5,182,273,150,195,94.8
7,35,TRUE,710,14960.8,89721.4,21210.9,182,267,150,193,94.9
8,1,TRUE,716,5068.9,81216.6,16519.4,229,278,150,190,95.0
8,2,TRUE,716,6219.8,81781.4,18549.7,229,302,150,204,95.0
8,3,TRUE,716,8495.5,81204.3,21992.2,230,279,151,183,94.6
8,4,TRUE,716,9562.5,81321.1,23348.2,229,309,150,214,94.7
8,5,TRUE,716,10458.7,81510.0,24371.6,229,278,150,189,94.8
8,6,FALSE,716,10408.5,83360.4,24538.7,230,279,151,202,94.8
8,7,TRUE,717,12960.0,83325.6,27389.6,230,277,151,201,94.5
8,8,TRUE,716,13564.2,83025.1,28212.5,230,285,151,201,94.6
8,9,TRUE,716,15399.2,84371.2,29586.3,230,274,151,199,94.5
8,10,FALSE,717,13760.1,83472.2,28172.0,230,274,151,199,94.3
8,11,TRUE,716,15498.7,83468.7,29821.1,231,293,151,200,94.2
8,12,FALSE,716,17306.1,83882.3,31327.5,230,274,151,200,94.1
8,13,TRUE,716,17270.9,83761.5,31323.1,230,287,151,200,94.0
8,14,TRUE,717,17926.6,84460.7,31792.4,230,274,150,200,94.3
8,15,TRUE,716,19197.9,84469.1,32462.9,230,293,150,200,94.5
8,16,TRUE,716,17567.2,84669.4,31450.8,230,301,151,209,94.7
8,17,TRUE,716,16275.1,83685.0,30586.6,230,297,151,201,94.6
8,18,TRUE,716,16525.8,84809.9,30903.1,230,275,151,200,94.5
8,19,TRUE,716,18625.8,84036.3,32329.4,230,275,151,201,94.7
8,20,TRUE,716,19213.0,85025.8,32705.0,230,281,151,201,94.9
8,21,TRUE,716,17991.8,86952.0,31938.4,230,293,151,203,94.9
8,22,TRUE,716,17347.2,85305.5,31453.2,230,286,151,201,95.0
8,23,TRUE,717,19685.9,84259.0,32977.4,229,317,151,217,95.0
8,24,TRUE,716,19238.1,85577.7,32679.1,230,295,151,201,94.7
8,25,TRUE,717,21362.5,85209.6,33992.7,230,289,151,201,94.5
8,26,TRUE,716,20631.3,85534.8,33735.3,230,278,151,201,94.3
8,27,FALSE,716,20188.3,85945.9,33280.9,230,278,151,201,94.4
