Clients,Iteration,Add_Event_Mean,Add_Event_SD,Fetch_Event_Mean,Fetch_Event_SD,Fetch_Event_Sum,Preprocess_Mean,Preprocess_SD,Preprocess_Sum,First_Event_Latency_ms,RSP_Processing_Mean_ms,RSP_Processing_SD_ms,RSP_Processing_Sum_ms,RSP_Processing_Min_ms,RSP_Processing_Max_ms,RSP_Processing_Count
6,30,4.65,6.53,119.96,272.59,256105.00,0.33,0.52,695.00,243249.00,38.55,20.30,424.00,15.00,70.00,11
6,31,3.38,2.86,105.90,235.88,226096.00,0.34,0.53,730.00,455405.00,39.29,21.75,275.00,14.00,72.00,7
6,32,3.77,4.17,106.58,265.58,227441.00,0.33,0.54,709.00,422477.00,29.46,20.15,383.00,10.00,66.00,13
6,33,3.72,3.78,101.52,236.37,216546.00,0.34,0.53,731.00,426136.00,39.00,25.95,312.00,8.00,85.00,8
6,34,3.62,2.74,96.78,219.68,206625.00,0.34,0.52,718.00,465671.00,40.80,18.54,408.00,10.00,69.00,10
6,35,3.94,4.56,107.63,237.66,229584.00,0.36,0.56,770.00,363238.00,48.14,25.45,337.00,14.00,83.00,7
7,1,3.95,3.40,105.86,218.03,225578.00,0.39,0.57,835.00,536399.00,54.38,28.32,435.00,21.00,104.00,8
7,2,4.11,4.14,112.38,321.96,239705.00,0.35,0.55,753.00,537923.00,49.27,25.44,542.00,15.00,106.00,11
7,3,5.07,7.61,115.08,242.00,245456.00,0.35,0.53,751.00,358809.00,50.00,19.58,450.00,25.00,81.00,9
7,4,6.43,10.11,119.94,289.74,255840.00,0.35,0.51,742.00,251717.00,38.08,20.69,495.00,11.00,71.00,13
7,5,3.85,3.06,114.52,294.97,244281.00,0.35,0.52,753.00,551558.00,52.75,19.89,422.00,22.00,78.00,8
7,6,3.93,4.37,126.68,302.85,270459.00,0.36,0.55,779.00,525127.00,51.00,23.51,459.00,20.00,97.00,9
7,7,4.45,5.93,114.74,250.60,244624.00,0.33,0.53,699.00,470763.00,57.00,22.36,399.00,29.00,99.00,7
7,8,3.80,2.69,132.91,348.69,283629.00,0.37,0.58,800.00,593183.00,45.00,16.96,315.00,25.00,71.00,7
7,9,3.88,3.24,105.83,234.19,225939.00,0.36,0.56,775.00,560556.00,48.82,20.46,537.00,19.00,85.00,11
7,10,8.18,12.40,128.80,276.52,274595.00,0.34,0.49,716.00,147874.00,39.00,20.73,468.00,10.00,84.00,12
7,11,8.66,12.61,124.99,291.29,266488.00,0.31,0.49,667.00,102884.00,47.33,19.50,284.00,18.00,73.00,6
7,12,4.02,4.22,125.97,288.28,268818.00,0.37,0.53,798.00,525404.00,43.67,24.28,393.00,13.00,91.00,9
7,13,4.07,3.98,116.03,282.01,247487.00,0.35,0.52,747.00,534088.00,43.38,20.76,564.00,12.00,86.00,13
7,14,9.55,13.50,104.95,235.38,223867.00,0.33,0.52,701.00,82876.00,55.00,28.77,385.00,17.00,106.00,7
7,15,4.14,4.52,116.87,266.52,249527.00,0.38,0.55,809.00,515252.00,60.29,13.22,422.00,36.00,77.00,7
7,16,4.28,4.76,115.72,250.57,246947.00,0.38,0.55,803.00,505552.00,59.86,21.77,419.00,20.00,94.00,7
7,17,7.40,11.52,127.30,291.75,271666.00,0.33,0.51,707.00,163848.00,52.14,18.54,365.00,19.00,78.00,7
7,18,3.90,3.08,96.68,209.56,206305.00,0.38,0.54,809.00,568433.00,53.14,21.21,372.00,19.00,90.00,7
7,19,4.39,6.18,107.98,263.14,230221.00,0.37,0.56,784.00,478122.00,44.36,28.15,488.00,14.00,101.00,11
7,20,4.09,3.80,123.45,301.18,263194.00,0.38,0.55,803.00,572943.00,66.43,18.42,465.00,36.00,88.00,7
7,21,3.89,3.12,99.23,232.25,211667.00,0.38,0.56,807.00,567671.00,57.60,21.80,288.00,16.00,77.00,5
7,22,3.91,2.57,116.33,310.19,248141.00,0.40,0.55,857.00,584239.00,55.50,21.37,333.00,16.00,88.00,6
7,23,4.36,4.41,111.19,248.42,237052.00,0.37,0.56,791.00,507520.00,48.90,22.18,489.00,15.00,81.00,10
7,24,3.82,2.93,110.45,267.16,235811.00,0.38,0.57,801.00,565263.00,48.71,23.89,341.00,19.00,95.00,7
7,25,4.46,5.48,110.06,266.54,234762.00,0.37,0.55,789.00,492377.00,44.64,19.52,625.00,13.00,81.00,14
7,26,6.27,8.59,117.52,265.18,250663.00,0.38,0.56,801.00,396939.00,47.38,19.53,379.00,29.00,91.00,8
7,27,4.11,4.29,124.47,291.90,265379.00,0.37,0.56,779.00,557804.00,54.50,30.67,327.00,11.00,98.00,6
7,28,4.05,3.05,107.99,255.65,230353.00,0.38,0.57,819.00,552907.00,48.71,25.56,341.00,18.00,97.00,7
7,29,4.10,4.39,98.63,224.50,210487.00,0.37,0.57,795.00,516812.00,46.89,19.65,422.00,15.00,79.00,9
7,30,8.67,13.44,141.73,355.40,302166.00,0.35,0.51,744.00,135609.00,59.29,20.18,415.00,26.00,88.00,7
7,31,5.52,8.52,106.27,227.70,226558.00,0.36,0.55,761.00,374723.00,47.60,22.44,476.00,17.00,86.00,10
7,32,4.59,5.79,131.74,296.52,280337.00,0.37,0.55,787.00,453258.00,58.14,22.10,407.00,28.00,101.00,7
7,33,5.60,8.22,100.95,264.14,214320.00,0.36,0.53,770.00,385275.00,57.64,22.59,634.00,22.00,102.00,11
7,34,3.78,3.27,115.83,256.62,229797.00,0.36,0.55,723.00,548248.00,34.38,23.77,275.00,7.00,76.00,8
7,35,4.34,3.36,124.77,288.81,255644.00,0.38,0.58,783.00,565817.00,56.50,13.67,339.00,34.00,76.00,6
8,1,2.96,2.91,119.59,294.93,251016.00,0.30,0.51,635.00,546728.00,40.60,27.05,203.00,17.00,87.00,5
8,2,2.85,2.07,124.28,299.89,260735.00,0.30,0.49,622.00,639836.00,45.50,20.62,182.00,24.00,69.00,4
8,3,2.91,2.32,124.66,270.62,262908.00,0.31,0.50,649.00,627693.00,44.25,20.51,177.00,13.00,65.00,4
8,4,2.88,2.27,114.76,241.54,242368.00,0.31,0.50,655.00,596335.00,37.38,13.69,299.00,16.00,63.00,8
8,5,2.95,2.12,120.32,287.79,252903.00,0.33,0.55,692.00,609973.00,33.00,14.56,132.00,11.00,51.00,4
8,7,3.01,2.48,131.70,293.64,278020.00,0.32,0.52,677.00,541535.00,33.83,18.03,203.00,9.00,58.00,6
8,8,2.92,2.13,141.02,341.67,298255.00,0.32,0.52,684.00,607561.00,36.17,9.01,217.00,23.00,47.00,6
8,9,3.00,2.57,121.63,276.71,255417.00,0.31,0.51,653.00,557447.00,44.60,9.22,223.00,31.00,59.00,5
8,11,2.83,1.92,109.80,252.62,229695.00,0.31,0.52,657.00,658367.00,51.25,19.29,205.00,21.00,69.00,4
8,13,3.00,2.17,139.62,346.94,293476.00,0.32,0.50,671.00,616300.00,42.00,18.97,168.00,18.00,70.00,4
8,14,2.84,1.84,114.77,244.89,241246.00,0.32,0.50,664.00,644389.00,43.67,8.18,131.00,34.00,54.00,3
8,15,2.89,2.18,125.85,294.75,265164.00,0.30,0.51,635.00,626076.00,34.60,19.70,173.00,19.00,71.00,5
8,16,3.07,2.85,130.45,300.74,274069.00,0.31,0.51,644.00,588088.00,36.43,15.03,255.00,13.00,61.00,7
8,17,3.05,2.43,113.04,253.09,238169.00,0.31,0.50,647.00,620970.00,37.00,22.90,185.00,11.00,65.00,5
8,18,3.07,2.65,116.98,259.87,246350.00,0.30,0.52,641.00,567103.00,46.75,29.05,187.00,16.00,90.00,4
8,19,2.97,2.31,125.19,284.81,264020.00,0.30,0.50,641.00,557926.00,51.25,15.12,205.00,26.00,66.00,4
8,20,3.08,2.28,121.97,278.80,256261.00,0.33,0.53,690.00,610113.00,32.14,17.71,225.00,12.00,60.00,7
8,21,2.99,2.27,119.39,274.36,249516.00,0.30,0.50,620.00,605077.00,28.00,15.56,168.00,11.00,57.00,6
8,22,2.99,2.23,108.84,279.55,228774.00,0.31,0.49,642.00,634194.00,49.33,23.30,148.00,20.00,77.00,3
8,23,2.96,2.15,123.87,297.30,260011.00,0.34,0.53,713.00,636351.00,32.83,21.72,197.00,10.00,73.00,6
8,24,3.20,3.27,118.53,302.20,249029.00,0.31,0.49,647.00,591622.00,31.14,23.75,218.00,7.00,83.00,7
8,25,2.99,2.52,125.72,323.09,263134.00,0.33,0.53,684.00,615938.00,54.67,36.46,164.00,17.00,104.00,3
8,26,2.98,2.21,125.44,311.13,262666.00,0.33,0.53,692.00,617246.00,30.50,15.11,183.00,15.00,55.00,6
8,28,3.12,2.59,116.14,260.50,239479.00,0.33,0.54,681.00,661806.00,37.40,20.71,187.00,11.00,73.00,5
8,29,3.22,2.41,121.49,279.65,253801.00,0.32,0.52,675.00,541099.00,40.14,20.95,281.00,20.00,73.00,7
8,30,3.03,2.03,119.05,309.42,248449.00,0.32,0.55,667.00,600487.00,34.60,14.69,173.00,20.00,60.00,5
8,31,3.78,4.35,132.38,292.68,279180.00,0.32,0.51,666.00,311328.00,24.64,16.51,271.00,9.00,61.00,11
8,32,2.86,2.53,130.85,318.10,275964.00,0.31,0.50,658.00,629183.00,45.60,31.06,228.00,12.00,101.00,5
8,33,3.05,2.33,113.66,257.58,238810.00,0.33,0.53,699.00,593550.00,42.00,23.18,168.00,15.00,78.00,4
8,34,3.25,2.73,116.08,279.80,243423.00,0.31,0.52,644.00,527118.00,41.80,17.14,209.00,15.00,63.00,5
8,35,3.23,2.73,129.45,321.20,272371.00,0.30,0.52,638.00,51.00,34.14,15.55,239.00,9.00,59.00,7
9,1,3.25,2.77,113.55,273.90,226864.00,0.31,0.51,617.00,648230.00,37.40,16.60,187.00,11.00,60.00,5
9,3,2.91,1.75,124.88,280.30,250628.00,0.32,0.51,649.00,676015.00,36.67,13.02,110.00,19.00,50.00,3
9,6,3.41,3.35,127.38,291.77,254245.00,0.33,0.51,649.00,43.00,33.60,9.56,168.00,23.00,47.00,5
9,7,4.33,5.08,123.48,287.91,251160.00,0.31,0.49,630.00,229545.00,35.57,23.97,249.00,13.00,72.00,7
9,8,2.99,2.02,120.02,280.47,238720.00,0.32,0.51,639.00,695759.00,37.25,9.78,149.00,27.00,48.00,4
9,9,3.22,2.71,129.22,297.58,258707.00,0.31,0.51,629.00,609511.00,45.33,9.10,136.00,37.00,58.00,3
9,10,3.40,3.17,122.11,267.53,243367.00,0.32,0.51,630.00,588537.00,39.50,18.03,158.00,20.00,58.00,4
9,11,3.24,2.52,107.47,249.89,230625.00,0.34,0.51,725.00,635415.00,43.00,24.12,215.00,20.00,87.00,5
9,12,3.19,2.37,117.92,296.08,234783.00,0.32,0.51,641.00,640081.00,62.50,0.50,125.00,62.00,63.00,2
9,14,15.04,14.62,20.65,33.57,44533.00,0.26,0.45,554.00,66194.00,27.50,15.64,165.00,12.00,55.00,6
9,15,2.92,1.75,129.51,286.39,258636.00,0.33,0.53,659.00,718108.00,68.50,5.50,137.00,63.00,74.00,2
9,16,3.06,2.27,117.13,284.56,232973.00,0.31,0.50,615.00,693669.00,40.67,13.27,122.00,23.00,55.00,3
9,17,3.09,1.82,119.42,284.32,238364.00,0.32,0.51,644.00,0.00,51.00,0.00,51.00,51.00,51.00,1
9,18,3.16,2.07,132.62,341.19,266163.00,0.32,0.50,633.00,685408.00,39.00,10.61,156.00,21.00,48.00,4
9,19,13.22,14.66,19.80,31.33,42830.00,0.24,0.45,523.00,78030.00,22.00,11.61,110.00,8.00,41.00,5
9,20,3.19,2.07,121.74,278.12,242380.00,0.33,0.51,657.00,681843.00,33.00,13.55,165.00,21.00,51.00,5
9,21,3.27,2.62,123.85,291.66,247448.00,0.35,0.53,698.00,649768.00,51.00,16.31,153.00,29.00,68.00,3
9,22,3.04,2.01,107.83,264.36,222244.00,0.34,0.52,704.00,680423.00,47.40,17.85,237.00,20.00,73.00,5
9,23,3.30,2.60,127.48,311.31,254315.00,0.34,0.53,670.00,613112.00,40.25,11.17,161.00,28.00,55.00,4
9,24,3.08,1.84,125.43,283.33,249605.00,0.33,0.51,658.00,711003.00,44.00,4.00,88.00,40.00,48.00,2
9,25,3.08,2.33,117.96,282.09,234743.00,0.33,0.51,650.00,669402.00,37.50,8.02,150.00,30.00,50.00,4
9,26,3.30,2.40,129.48,289.26,267375.00,0.34,0.54,698.00,608861.00,51.50,15.44,206.00,27.00,67.00,4
9,27,11.59,14.66,19.85,33.09,42938.00,0.27,0.45,575.00,105831.00,19.25,14.52,154.00,9.00,55.00,8
9,28,3.24,2.47,129.95,313.93,260151.00,0.32,0.53,646.00,637280.00,31.40,14.04,157.00,14.00,54.00,5
9,29,3.25,2.73,130.72,307.25,268627.00,0.33,0.50,680.00,639294.00,41.40,19.83,207.00,15.00,65.00,5
9,30,3.52,3.22,153.64,345.66,307741.00,0.34,0.53,685.00,502363.00,39.00,6.53,117.00,31.00,47.00,3
9,31,3.45,2.75,116.82,262.29,233527.00,0.34,0.54,686.00,630348.00,38.00,17.83,190.00,17.00,70.00,5
9,32,3.09,2.30,124.73,273.57,249963.00,0.36,0.56,713.00,719478.00,55.00,24.10,165.00,26.00,85.00,3
9,33,3.44,3.15,123.95,315.65,245907.00,0.33,0.54,663.00,656398.00,42.40,28.88,212.00,10.00,96.00,5
9,34,3.37,2.82,93.09,215.74,201364.00,0.35,0.54,762.00,572109.00,24.38,14.81,1268.00,4.00,74.00,52
9,35,3.81,3.84,143.39,341.16,287786.00,0.32,0.51,650.00,342276.00,42.00,26.12,210.00,13.00,75.00,5
10,2,3.03,2.31,122.35,287.45,234297.00,0.34,0.51,648.00,700292.00,65.00,3.00,130.00,62.00,68.00,2
10,3,13.13,13.18,72.37,133.66,156391.00,0.24,0.43,511.00,69261.00,15.36,9.12,169.00,5.00,37.00,11
10,5,3.54,3.32,74.58,182.49,160564.00,0.33,0.52,705.00,364887.00,30.55,14.52,336.00,9.00,58.00,11
10,6,3.26,2.88,126.40,314.95,242805.00,0.33,0.53,635.00,629243.00,74.00,17.00,148.00,57.00,91.00,2
10,7,3.10,2.33,65.29,161.89,141292.00,0.34,0.56,731.00,542593.00,15.10,8.18,438.00,3.00,35.00,29
10,8,2.97,2.13,120.74,272.77,230252.00,0.33,0.51,636.00,708211.00,53.00,4.00,106.00,49.00,57.00,2
10,9,3.06,2.22,119.45,275.02,229706.00,0.32,0.54,619.00,686147.00,51.00,4.00,102.00,47.00,55.00,2
10,10,3.05,1.89,139.62,348.77,266680.00,0.35,0.51,662.00,701076.00,53.00,3.00,106.00,50.00,56.00,2
10,11,5.66,7.33,16.85,32.43,36386.00,0.30,0.51,655.00,151730.00,21.67,14.23,130.00,9.00,43.00,6
10,14,3.21,2.66,121.71,269.90,232590.00,0.32,0.52,621.00,650463.00,50.00,9.00,100.00,41.00,59.00,2
10,15,2.83,1.70,129.06,317.31,248317.00,0.33,0.54,640.00,0.00,62.00,0.00,62.00,62.00,62.00,1
10,16,2.99,1.72,129.96,292.12,250036.00,0.34,0.55,654.00,0.00,61.00,0.00,61.00,61.00,61.00,1
10,18,9.81,10.11,18.25,28.69,39244.00,0.26,0.48,549.00,91814.00,21.00,9.85,126.00,11.00,41.00,6
10,19,3.03,1.83,136.22,376.20,260581.00,0.33,0.53,628.00,0.00,42.00,0.00,42.00,42.00,42.00,1
10,21,3.09,1.89,125.64,324.23,239596.00,0.34,0.53,640.00,0.00,49.00,0.00,49.00,49.00,49.00,1
10,22,3.07,2.29,136.52,383.03,260744.00,0.32,0.52,605.00,686204.00,59.50,18.50,119.00,41.00,78.00,2
10,25,3.17,2.13,110.84,278.59,211263.00,0.36,0.55,681.00,678307.00,48.50,6.50,97.00,42.00,55.00,2
10,26,3.03,1.93,129.68,314.48,249889.00,0.34,0.53,656.00,0.00,36.50,7.50,73.00,29.00,44.00,2
10,29,3.00,1.75,128.18,303.22,245330.00,0.32,0.51,606.00,0.00,63.00,0.00,126.00,63.00,63.00,2
10,35,3.60,3.78,121.39,263.87,233436.00,0.34,0.53,654.00,630600.00,67.67,19.74,203.00,42.00,90.00,3
