Clients,Iteration,Add_Event_Mean,Add_Event_SD,Fetch_Event_Mean,Fetch_Event_SD,Fetch_Event_Sum,Preprocess_Mean,Preprocess_SD,Preprocess_Sum,First_Event_Latency_ms,RSP_Processing_Mean_ms,RSP_Processing_SD_ms,RSP_Processing_Sum_ms,RSP_Processing_Min_ms,RSP_Processing_Max_ms,RSP_Processing_Count
2,13,4.21,6.54,37.26,77.90,79506.00,0.28,0.48,588.00,122471.00,31.11,16.58,280.00,8.00,66.00,9
2,14,4.15,6.11,36.54,77.77,77947.00,0.27,0.47,585.00,108223.00,28.80,16.15,288.00,9.00,56.00,10
2,15,13.55,14.26,39.73,89.64,84854.00,0.24,0.45,502.00,69864.00,26.17,18.23,157.00,10.00,59.00,6
2,16,11.09,11.71,38.77,82.42,82733.00,0.23,0.45,497.00,62067.00,24.29,13.73,170.00,7.00,43.00,7
2,17,10.41,12.09,41.54,85.22,88598.00,0.25,0.45,525.00,83990.00,21.43,13.31,150.00,8.00,42.00,7
2,18,4.54,6.57,40.38,95.10,86083.00,0.29,0.51,615.00,106963.00,22.20,15.49,222.00,7.00,58.00,10
2,19,7.50,11.15,41.47,100.31,88504.00,0.26,0.46,558.00,98263.00,19.10,13.60,191.00,7.00,49.00,10
2,20,4.93,7.45,38.58,84.91,82377.00,0.27,0.47,581.00,139261.00,18.63,11.56,149.00,8.00,40.00,8
2,21,10.58,12.44,39.09,86.00,83420.00,0.26,0.45,551.00,81887.00,20.31,12.92,264.00,9.00,49.00,13
2,22,11.56,13.63,39.35,83.28,83981.00,0.25,0.45,530.00,73866.00,26.86,16.96,188.00,11.00,56.00,7
2,23,9.59,9.67,40.56,86.35,86522.00,0.24,0.46,514.00,65908.00,23.67,13.73,142.00,7.00,43.00,6
2,24,10.46,12.92,41.26,91.74,88053.00,0.24,0.47,515.00,88083.00,19.08,12.19,248.00,8.00,46.00,13
2,25,2.57,2.06,42.10,90.03,89834.00,0.29,0.49,621.00,223148.00,28.00,9.91,196.00,16.00,42.00,7
2,26,3.03,3.54,39.87,89.68,85126.00,0.27,0.47,577.00,181370.00,32.57,20.14,228.00,10.00,65.00,7
2,27,14.64,14.69,43.06,93.99,91893.00,0.22,0.44,474.00,63604.00,24.40,11.84,122.00,14.00,47.00,5
2,28,11.51,14.27,41.10,82.78,87675.00,0.25,0.47,525.00,85672.00,18.17,15.31,218.00,6.00,59.00,12
2,29,10.91,12.06,41.52,96.04,88600.00,0.26,0.46,560.00,77390.00,27.14,21.12,190.00,5.00,68.00,7
2,30,13.74,14.17,42.90,86.73,91498.00,0.26,0.47,550.00,69675.00,30.63,16.35,245.00,10.00,67.00,8
2,31,9.62,11.45,42.23,87.63,90168.00,0.25,0.44,536.00,91811.00,27.00,21.84,189.00,5.00,72.00,7
2,32,9.72,10.97,37.88,74.99,80762.00,0.26,0.45,559.00,83354.00,30.67,25.56,184.00,8.00,69.00,6
2,33,11.99,13.64,41.10,87.67,87718.00,0.25,0.47,535.00,75367.00,17.33,7.85,104.00,1.00,25.00,6
2,34,8.54,10.84,46.30,108.33,98806.00,0.26,0.48,555.00,97314.00,20.10,13.28,201.00,7.00,43.00,10
2,35,2.75,1.94,39.95,87.98,85207.00,0.29,0.48,624.00,218431.00,30.57,19.13,214.00,11.00,61.00,7
3,1,5.43,7.35,64.99,153.33,138567.00,0.26,0.47,556.00,82618.00,28.88,15.02,231.00,7.00,55.00,8
3,2,9.44,9.64,59.68,125.43,127349.00,0.27,0.48,569.00,70315.00,30.57,17.33,214.00,11.00,57.00,7
3,3,4.81,6.45,60.41,129.24,128907.00,0.27,0.45,566.00,94344.00,28.10,17.93,281.00,8.00,64.00,10
3,4,3.27,3.43,57.75,126.92,123229.00,0.29,0.48,613.00,196150.00,25.80,16.78,258.00,7.00,62.00,10
3,5,11.58,12.58,62.21,133.02,132811.00,0.25,0.44,537.00,67225.00,33.29,25.06,233.00,10.00,73.00,7
3,6,3.19,3.70,58.74,130.70,125299.00,0.29,0.50,612.00,223379.00,31.40,15.72,314.00,8.00,64.00,10
3,7,8.38,10.83,63.49,135.83,135541.00,0.27,0.46,581.00,75081.00,17.83,4.84,107.00,9.00,23.00,6
3,8,13.72,13.98,63.07,142.11,134650.00,0.23,0.43,489.00,63165.00,17.70,10.53,177.00,7.00,41.00,10
3,9,2.77,2.26,63.34,147.39,135166.00,0.29,0.50,625.00,273791.00,34.00,18.78,204.00,12.00,60.00,6
3,10,7.68,12.10,69.61,152.11,148547.00,0.27,0.46,579.00,71880.00,21.00,11.57,273.00,8.00,45.00,13
3,11,2.60,1.88,57.77,127.04,123273.00,0.31,0.49,651.00,283765.00,40.83,16.79,245.00,14.00,67.00,6
3,12,5.12,7.16,63.27,134.73,135080.00,0.25,0.45,536.00,82857.00,35.29,17.52,247.00,10.00,58.00,7
3,13,13.08,13.85,61.94,162.48,132185.00,0.28,0.46,594.00,68390.00,23.57,16.83,165.00,9.00,59.00,7
3,14,5.52,8.33,67.41,149.99,143852.00,0.29,0.51,617.00,91713.00,33.14,16.89,232.00,9.00,61.00,7
3,15,3.26,3.51,59.09,121.49,126035.00,0.29,0.47,627.00,226023.00,27.20,16.85,272.00,11.00,59.00,10
3,16,3.09,2.27,58.74,135.05,125342.00,0.30,0.49,647.00,271896.00,38.29,23.17,268.00,7.00,72.00,7
3,17,10.82,10.82,64.80,149.55,138223.00,0.26,0.49,560.00,63118.00,29.86,19.28,209.00,9.00,69.00,7
3,18,5.65,8.17,62.19,128.12,132710.00,0.30,0.49,648.00,88899.00,21.50,14.97,258.00,7.00,58.00,12
3,19,2.88,2.50,57.17,123.38,121995.00,0.31,0.48,665.00,267308.00,25.60,16.86,256.00,10.00,60.00,10
3,20,10.44,13.64,69.67,160.97,148684.00,0.28,0.46,599.00,68403.00,20.40,11.21,204.00,8.00,40.00,10
3,21,3.19,3.71,60.36,135.00,128809.00,0.30,0.49,639.00,221978.00,37.71,21.39,264.00,12.00,73.00,7
3,22,6.45,9.84,56.34,119.06,120233.00,0.28,0.47,593.00,83988.00,28.09,13.06,309.00,13.00,58.00,11
3,23,3.05,2.01,61.25,128.06,130718.00,0.31,0.49,656.00,256790.00,30.88,21.44,247.00,6.00,70.00,8
3,24,10.64,10.77,61.97,137.13,132253.00,0.26,0.47,557.00,65616.00,27.29,18.17,191.00,11.00,64.00,7
3,25,5.17,7.49,64.73,137.86,138068.00,0.28,0.47,590.00,95236.00,25.70,18.24,257.00,8.00,71.00,10
3,26,6.85,10.40,60.02,132.03,128015.00,0.29,0.52,612.00,80948.00,21.86,12.09,153.00,11.00,46.00,7
3,27,10.83,11.27,60.56,124.80,129241.00,0.28,0.47,597.00,71300.00,28.29,16.87,198.00,11.00,58.00,7
3,28,3.11,2.66,58.61,127.09,125007.00,0.29,0.48,629.00,255138.00,26.43,10.99,185.00,14.00,43.00,7
3,29,3.19,3.32,54.16,120.13,115622.00,0.31,0.52,667.00,240645.00,30.00,16.40,270.00,7.00,56.00,9
3,30,8.13,10.32,59.58,120.43,127086.00,0.29,0.50,625.00,76563.00,28.71,21.49,201.00,8.00,65.00,7
3,31,12.35,12.98,66.66,135.84,142249.00,0.27,0.47,584.00,68000.00,25.14,12.92,176.00,9.00,43.00,7
3,32,2.88,1.94,58.05,122.38,123871.00,0.30,0.48,644.00,266654.00,23.75,13.43,190.00,11.00,47.00,8
3,33,6.84,10.60,64.32,144.51,137132.00,0.28,0.46,597.00,84241.00,26.33,17.93,316.00,6.00,66.00,12
3,34,7.47,11.49,59.10,127.24,126128.00,0.29,0.48,626.00,73480.00,22.70,19.01,227.00,7.00,72.00,10
3,35,4.96,6.77,59.65,128.89,127172.00,0.31,0.53,667.00,108358.00,26.14,11.93,183.00,11.00,42.00,7
4,1,3.01,2.07,72.54,170.52,154586.00,0.32,0.50,676.00,333340.00,24.86,13.76,174.00,10.00,46.00,7
4,2,5.80,7.94,76.59,158.89,163438.00,0.29,0.47,627.00,67603.00,35.43,17.44,248.00,9.00,62.00,7
4,3,2.94,2.18,73.18,172.69,156169.00,0.31,0.51,661.00,335634.00,30.43,15.13,213.00,11.00,60.00,7
4,4,3.80,4.67,76.13,165.95,162612.00,0.31,0.49,664.00,189497.00,30.75,17.21,246.00,10.00,60.00,8
4,5,3.15,2.86,79.57,190.70,169887.00,0.31,0.49,658.00,317051.00,28.33,21.13,255.00,10.00,76.00,9
4,6,3.27,3.40,70.12,147.41,149422.00,0.28,0.47,591.00,260105.00,30.75,17.15,246.00,11.00,67.00,8
4,7,4.04,5.29,82.77,186.65,176791.00,0.29,0.49,621.00,169625.00,35.44,17.73,319.00,15.00,65.00,9
4,8,2.93,2.59,74.60,178.87,159187.00,0.28,0.47,597.00,344264.00,30.78,20.02,277.00,12.00,79.00,9
4,9,7.02,10.45,86.67,212.62,185035.00,0.29,0.48,611.00,68556.00,39.57,18.37,277.00,15.00,68.00,7
4,10,4.28,5.94,85.13,185.61,181493.00,0.32,0.50,683.00,174131.00,30.82,14.83,339.00,13.00,63.00,11
4,11,5.31,7.50,84.21,186.37,179782.00,0.30,0.48,648.00,102402.00,38.38,17.31,307.00,17.00,69.00,8
4,12,6.00,8.74,80.49,169.37,171684.00,0.30,0.49,636.00,76449.00,30.63,15.01,245.00,13.00,63.00,8
4,13,3.07,2.71,78.95,171.08,168401.00,0.29,0.48,627.00,316357.00,33.22,17.79,299.00,11.00,66.00,9
4,14,3.75,4.38,75.73,166.00,161694.00,0.30,0.47,642.00,202796.00,31.00,20.65,217.00,12.00,66.00,7
4,15,5.37,7.53,77.93,161.09,166372.00,0.30,0.48,643.00,89938.00,27.86,12.08,195.00,11.00,42.00,7
