Client,Add_Event_Mean_Overall,Add_Event_SD_Overall,Fetch_Event_Mean_Overall,Fetch_Event_SD_Overall,Fetch_Event_Sum_Overall
1,9.19,11.45,16.53,24.76,1234848.00
2,8.31,11.02,40.21,87.72,3002869.00
3,6.51,9.34,61.45,135.09,4589049.00
4,4.45,6.32,78.46,177.01,5859355.00
5,4.48,6.22,95.14,215.12,7104177.00
6,3.77,4.19,105.66,247.18,7889735.00
7,4.96,6.97,115.81,274.05,8617763.00
8,3.03,2.50,122.50,289.36,7977376.00
9,4.23,6.01,113.85,278.86,7621948.00
10,3.76,4.51,111.56,285.88,6983699.00
